trade_id,entry_time,exit_time,entry_price_usd,exit_price_usd,holding_bars,holding_hours,holding_days,return_pct,profit_loss_usd,capital_after_trade_usd,outcome,exit_reason
1,2026-01-05 08:00:00+00:00,2026-01-08 08:00:00+00:00,93134.26,90226.77,18,72,3.0,-3.1218,-3121.83,96878.17,LOSS,DEATH_CROSS
2,2026-01-12 04:00:00+00:00,2026-01-17 16:00:00+00:00,91408.09,95291.38,33,132,5.5,4.2483,4115.68,100993.85,WIN,DEATH_CROSS
3,2026-01-25 00:00:00+00:00,2026-01-25 04:00:00+00:00,88960.35,88659.99,1,4,0.2,-0.3376,-340.99,100652.86,LOSS,DEATH_CROSS
4,2026-01-28 12:00:00+00:00,2026-01-30 00:00:00+00:00,89479.66,82676.43,9,36,1.5,-7.6031,-7652.74,93000.12,LOSS,DEATH_CROSS
5,2026-02-08 16:00:00+00:00,2026-02-10 20:00:00+00:00,71422.97,68841.29,13,52,2.2,-3.6146,-3361.62,89638.5,LOSS,DEATH_CROSS
6,2026-02-14 16:00:00+00:00,2026-02-17 08:00:00+00:00,69873.99,67854.6,16,64,2.7,-2.89,-2590.59,87047.91,LOSS,DEATH_CROSS
7,2026-02-21 12:00:00+00:00,2026-02-23 16:00:00+00:00,68615.0,64295.1,13,52,2.2,-6.2959,-5480.41,81567.5,LOSS,DEATH_CROSS
8,2026-02-26 12:00:00+00:00,2026-02-28 16:00:00+00:00,67382.0,66362.01,13,52,2.2,-1.5137,-1234.72,80332.78,LOSS,DEATH_CROSS
9,2026-03-02 16:00:00+00:00,2026-03-07 08:00:00+00:00,68966.53,68010.01,28,112,4.7,-1.3869,-1114.16,79218.62,LOSS,DEATH_CROSS
10,2026-03-10 12:00:00+00:00,2026-03-19 08:00:00+00:00,71346.16,69952.75,53,212,8.8,-1.953,-1547.16,77671.46,LOSS,DEATH_CROSS
11,2026-03-24 20:00:00+00:00,2026-03-27 08:00:00+00:00,70556.74,66702.78,15,60,2.5,-5.4622,-4242.58,73428.88,LOSS,DEATH_CROSS
12,2026-03-31 08:00:00+00:00,2026-04-03 08:00:00+00:00,66685.69,67017.44,18,72,3.0,0.4975,365.3,73794.17,WIN,DEATH_CROSS
13,2026-04-06 00:00:00+00:00,2026-04-13 08:00:00+00:00,69123.69,70929.68,44,176,7.3,2.6127,1928.02,75722.19,WIN,DEATH_CROSS
14,2026-04-14 16:00:00+00:00,2026-04-20 04:00:00+00:00,74223.18,74837.17,33,132,5.5,0.8272,626.39,76348.58,WIN,DEATH_CROSS
15,2026-04-22 04:00:00+00:00,2026-04-26 00:00:00+00:00,78012.79,77400.21,23,92,3.8,-0.7852,-599.51,75749.07,LOSS,DEATH_CROSS
16,2026-04-27 04:00:00+00:00,2026-04-28 12:00:00+00:00,77606.6,76066.38,8,32,1.3,-1.9847,-1503.35,74245.71,LOSS,DEATH_CROSS
17,2026-05-01 20:00:00+00:00,2026-05-08 12:00:00+00:00,78231.13,80142.14,40,160,6.7,2.4428,1813.66,76059.37,WIN,DEATH_CROSS
18,2026-05-10 20:00:00+00:00,2026-05-13 16:00:00+00:00,82210.07,79642.41,17,68,2.8,-3.1233,-2375.56,73683.81,LOSS,DEATH_CROSS
19,2026-05-21 16:00:00+00:00,2026-05-23 04:00:00+00:00,77690.56,74609.36,9,36,1.5,-3.966,-2922.29,70761.52,LOSS,DEATH_CROSS
20,2026-05-25 12:00:00+00:00,2026-05-27 16:00:00+00:00,77628.82,75066.08,13,52,2.2,-3.3013,-2336.03,68425.49,LOSS,DEATH_CROSS
21,2026-06-01 00:00:00+00:00,2026-06-01 16:00:00+00:00,73769.06,71595.24,4,16,0.7,-2.9468,-2016.36,66409.13,LOSS,DEATH_CROSS
22,2026-06-08 12:00:00+00:00,2026-06-10 20:00:00+00:00,63774.48,61510.99,14,56,2.3,-3.5492,-2357.0,64052.13,LOSS,DEATH_CROSS
23,2026-06-12 08:00:00+00:00,2026-06-18 08:00:00+00:00,63766.01,63974.4,36,144,6.0,0.3268,209.33,64261.46,WIN,DEATH_CROSS
24,2026-06-21 16:00:00+00:00,2026-06-23 20:00:00+00:00,64207.12,62734.57,13,52,2.2,-2.2934,-1473.8,62787.66,LOSS,DEATH_CROSS
25,2026-07-02 16:00:00+00:00,2026-07-08 20:00:00+00:00,61479.6,62290.0,37,148,6.2,1.3182,827.64,63615.3,WIN,DEATH_CROSS
26,2026-07-10 16:00:00+00:00,2026-07-13 16:00:00+00:00,63917.88,62288.23,18,72,3.0,-2.5496,-1621.94,61993.37,LOSS,DEATH_CROSS
27,2026-07-15 16:00:00+00:00,2026-07-16 20:00:00+00:00,64977.34,63830.2,7,28,1.2,-1.7654,-1094.46,60898.91,LOSS,END_OF_DATA
